final_founding,STATE,DISTRICT_NAME,SCHOOL_NAME,vb_school,char_diff,kshetra,pranta,district,locality,loc2,lon,lat,avg_year
2001,Madhya Pradesh,SHAJAPUR,SARASWATI SHISHU MANDIR PATPADA,"SARSWATI SHISHU MANDIR, PANWADI",0.8387097,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,1998
2010,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR BHAINSWAHI,"SARSWATI SHISHU MANDIR, PARASWARA",0.7647059,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2008.4285714285713
1998,Madhya Pradesh,MANDSAUR,SARSVATI SHISHUMANDIR  PIPLIYA,"SARSWATI SHISHU MANDIR, PARONIYA",0.78125,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Paroniya,"Paroniya, Mandsaur, India",75.0679018,24.0734356,1999.9
2003,Madhya Pradesh,SATNA,SARASWATI SHISHU MANDIR PATERI,"SARSWATI SHISHU MANDIR, PATERI",0.9333333,Vidya Bharti Madhya Kshetra,Maha Koshal,Satna,satna,"satna, Satna, India",80.8322428,24.6005075,2002.6
2006,Bihar,PASHCHIM CHAMPARAN,SARSWATI SHISHU MANDIR MAHODIPUR,"SARSWATI SHISHU MANDIR, PATILAR",0.78125,Vidya Bharti Uttar Purav Kshetra,Uttar Bihar,West Champaran,patilar,"patilar, West Champaran, India",84.21207,27.0488687,1999.142857142857
2000,Madhya Pradesh,NEEMUCH,SARSVATI SHISHU MANDIR BAVDA,"SARSWATI SHISHU MANDIR, PATIYAL",0.7741935,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,1999.5882352941176
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, PATLAWAD",0.8125,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Patlawad Mandsor,"Patlawad Mandsor, Mandsaur, India",75.1953934,23.8425466,1999.25
2001,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR PATPADA,"SARSWATI SHISHU MANDIR, PATPADA",0.9354839,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Susner,"Susner, Agar Malwa, India",76.1001009,23.9428099,2004
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, PAVATI",0.8,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Garoth,"Garoth, Mandsaur, India",75.6499025,24.328077,1999.695652173913
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, PAWATI",0.8333333,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Pawati,"Pawati, Mandsaur, India",75.7019519,24.2876064,1999.3333333333333
