final_founding,STATE,DISTRICT_NAME,SCHOOL_NAME,vb_school,char_diff,kshetra,pranta,district,locality,loc2,lon,lat,avg_year
1998,Assam,SONITPUR,SHANKARDEV SISHU NIKETAN,"*SHANKARDEV SHISHU NIKETAN, DHIRAI MAJULI",0.5853659,Vidya Bharti Purvottar Kshetra,Uttar Assam,Sonitpur,Dhirai Majuli,"Dhirai Majuli, Sonitpur, India",92.5201928,26.6318294,1995.7142857142858
1974,Kerala,KANNUR,TAGORE VIDYA NIKETAN GHSS,A V S TAGORE VIDYA PEEDOM HS,0.5,Vidya Bharti Dakshin Kshetra,Kerala,Kannur,Peedom,"Peedom, Kannur, India",75.37036619999999,11.8744775,1992.8461538461538
1979,Tamil Nadu,VELLORE,"A J SARASWATHI MATRICULATION VIDYALAYA, GUDIYATHAM VEL","A.J. SARASWATHI MATRIC. VIDYALAYA, GUDIYATHAM, VELLORE DISTRICT",0.6349206,Vidya Bharti Dakshin Kshetra,Uttar Tamil Nadu,Vellore,vellore district,"vellore district, Vellore, India",79.13249859999999,12.9165167,1995
2001,Rajasthan,DHAULPUR,A.V.M. BARAULI,A.V.M BARAULI,0.9285714,Vidya Bharti Rajasthan Kshetra,Jaipur,Dholpur,Balauri,"Balauri, Dholpur, India",77.8907576,26.6965521,1977.4285714285713
1996,Rajasthan,BIKANER,"ARUNODAY VIDYA MANDIR SR.SEC.SCHOOL, GANGASHAHAR","A.V.M.GIRLS SR.SEC., GANGASHAHAR",0.5,Vidya Bharti Rajasthan Kshetra,Jodhpur,Bikaner,Gangasahar,"Gangasahar, Bikaner, India",73.297175,27.9898389,1973.5
1947,Rajasthan,BIKANER,G.U.P.S. BOTHRA GANGASHAHAR,"A.V.M.PPIMARY, GANGASHAHAR",0.5555556,Vidya Bharti Rajasthan Kshetra,Jodhpur,Bikaner,Bikaner,"Bikaner, Bikaner, India",73.3119159,28.0229348,1973.4444444444443
1997,Rajasthan,BHILWARA,GAYATRI ADARSH  VIDHYA MANDIR MANDALGARH,AADARSH VIDAYA MANDIR MANDAL GARH,0.75,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Bhilwara,"Bhilwara, Bhilwara, India",74.63131829999999,25.3407388,1994.304347826087
2009,Rajasthan,JHALAWAR,"BAL ADRARSH VIDHYA MANDIR, PAGARIYA",AADARSH VIDHA MANDIR PAGARIYA,0.828571428571429,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,BHAWANIMANDI,"BHAWANIMANDI, Jhalawar, India",75.8214371,24.4054876,1999.5555555555557
2006,Rajasthan,BHILWARA,ADARSH VIDHYA MANDIR MOKHAMPURA  AZADNAGAR BHL,"AADARSH VIDHYA MANDIR MADHYAMIK VIDHYALAY, RAIPUR BHILWARA",0.5689655,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Raipur,"Raipur, Bhilwara, India",74.1606956,25.4004967,2004.3
1997,Rajasthan,JAISALMER,ADARSH VIDHYA MANDIR SEC SCH_RAMGARH,"AADARSH VIDHYA MANDIR SECONDARY, FATEHGARH",0.6904762,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,Fatehgarh,"Fatehgarh, Jaisalmer, India",71.5825037,26.731414,2001.1666666666667
2005,Rajasthan,AJMER,ADARSH VIDYA NIKETAN MATHUWARA,"AADARSH VIDHYA NIKETAN PRIMARY, SUBHASHNAGAR AJMER",0.54,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Ajmer,Ajmer,"Ajmer, Ajmer, India",74.6399163,26.4498954,1991.909090909091
2005,Rajasthan,AJMER,ADARSH VIDYA NIKETAN MATHUWARA,"AADARSH VIDHYA NIKETAN, MADHYAMIK VIDHYALAY, PUSHKAR ROAD AJMER",0.4444444,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Ajmer,Ajmer,"Ajmer, Ajmer, India",74.6399163,26.4498954,1994.92
1997,Haryana,REWARI,ADARSH VIDYA MANDIR,"AADARSH VIDYA MANDIR, REWARI",0.6785714,Vidya Bharti Uttar Kshetra,Haryana,Rewari,Rewari,"Rewari, Rewari, India",76.6190774,28.1919738,1996.2727272727273
1996,Uttar Pradesh,BULANDSHAHR,ADARSH SARSWATI SHISHU MANDIR,"AADERSH SARASWATI SHISHU MANDIR, SIDHESHWER MARG",0.5833333,Vidya Bharti Paschimi Uttar Pradesh,Meerut,Bulandshahr,KHURJA,"KHURJA, Bulandshahr, India",77.854903,28.2489801,2002.75
2006,Uttar Pradesh,BIJNOR,ADARSH VIDYA MANDIR UPS,"AADERSH VIDYA MANDIR, V.P PEEPLIJAT",0.5714286,Vidya Bharti Paschimi Uttar Pradesh,Meerut,Bijnor,Peeplijat,"Peeplijat, Bijnor, India",78.2404947,29.1632104,1996.642857142857
2002,Kerala,PALAKKAD,AADI SANKARA VIDYA NIKETHAN,"AADI SANKARA VIDYANIKETHAN, KOTHAKURISSI, PANAMANNA OTTAPPALAM",0.4032258,Vidya Bharti Dakshin Kshetra,Kerala,Palakkad,Kothakurissi,"Kothakurissi, Palakkad, India",76.3369549,10.8100725,1995.4
2001,Haryana,JHAJJAR,"ADARSH BAL VIDYA MANDIR, NUNA MAJRA","AADRSH BAL MANDIR, NUNAMAZRA",0.7428571,Vidya Bharti Uttar Kshetra,Haryana,Jhajjar,Jhajjar,"Jhajjar, Jhajjar, India",76.6537749,28.6054875,2001.9
1992,Uttar Pradesh,SAHARANPUR,A.A.S.S.M. CHILKANA,"AASSM, TOWN CHILKANA",0.55,Vidya Bharti Paschimi Uttar Pradesh,Meerut,Saharanpur,Saharanpur,"Saharanpur, Saharanpur, India",77.55520659999999,29.9680035,1999.25
1993,Kerala,THIRUVANANTHAPURAM,SRI BHADRA VIDHYALAYAM MANNARAMPARA,"ABHEDHA VIDYALAYAM (U.P)ABHEDHANANDAPURAM,AMARAVILA(VIA) MARIYAPURAM.",0.3188406,Vidya Bharti Dakshin Kshetra,Kerala,Thiruvananthapuram,Amaravila,"Amaravila, Thiruvananthapuram, India",77.1053673,8.3885185,1990
1996,Uttar Pradesh,HARDOI,SATYAWATI SARASWATI SHISHU MANDIR MAHOLIYA SHIVPAR,ABHISHEK SARSWATI SHISHU MANDIR SANSKAR KANDRA,0.56,Vidya Bharti Purvi Uttar Pradesh,Awadh,Hardoi,kalayanmal distt hardoi,"kalayanmal distt hardoi, Hardoi, India",80.1250479,27.3965071,1992.090909090909
1995,Arunachal Pradesh,LOWER SUBANSIRI,ABOTANI VIDYA NIKETAN (PVT.),"ABOTANI VIDYA NIKETAN, GAA",0.75,Vidya Bharti Purvottar Kshetra,Arunachal,Lower Subansiri,Gaa,"Gaa, Lower Subansiri, India",93.8391557,27.6169349,1998.6666666666667
1994,Arunachal Pradesh,PAPUM PARE,ABOTANI VIDYA NIKETAN,"ABOTANI VIDYA NIKETAN, PACHIN COLONY",0.5833333,Vidya Bharti Purvottar Kshetra,Arunachal,Papum Pare,Pachin Colony,"Pachin Colony, Papum Pare, India",93.7029002,27.1719019,2006.0666666666666
1995,Arunachal Pradesh,LOWER SUBANSIRI,ABOTANI VIDYA NIKETAN (PVT.),"ABOTANI VIDYA NIKETAN, ZIRO",0.75,Vidya Bharti Purvottar Kshetra,Arunachal,Lower Subansiri,Ziro,"Ziro, Lower Subansiri, India",93.8196909,27.5447892,1998.857142857143
2011,Rajasthan,CHURU,ACHARYA MAHAPRAGYA SHISHUVATIKA ADARSH VIDHYA ANDIR CHHAPAR,"ACHARIYA MAHAPRIGIYA SHISHUVATIKA ADARSH VIDAYA MANDIR, CHHAPAR",0.9047619,Vidya Bharti Rajasthan Kshetra,Jaipur,Churu,Chhapar,"Chhapar, Churu, India",74.43790729999999,27.8185932,2001.3
2000,Uttar Pradesh,BALLIA,LAXMI DEVI SHIKCHA NIKETAN AMDARI B,"ACHARYA BRAHMADEV SHIKSHA NIKETAN, SAGARPALI",0.5,Vidya Bharti Purvi Uttar Pradesh,Goraksh,Ballia,Sagarpali,"Sagarpali, Ballia, India",84.0973258,25.7520087,2001.3333333333333
1998,Uttar Pradesh,SHAHJAHANPUR,SANJAY KUMAR SARASWATI VIDYA MANDIR I.C.,"ACHARYA RAMMOHAN MISHRA SARASWATI VIDYA MANDIR INTER COLLEGE, KANONGOYAN, JALALABAD",0.3855422,Vidya Bharti Paschimi Uttar Pradesh,Braj,Shahjahanpur,Shahjahanpur,"Shahjahanpur, Shahjahanpur, India",79.9147268,27.8753399,2003.642857142857
1988,Rajasthan,NAGAUR,BAL VIDYA MANDIR KHARIPURA SR.SEC.SCH. NAGAUR,"ADARASH VIDYA MANDIR PRATHAMIK, GAURAV PATH, SHARDAPURAM, ALAI, DIST. NAGAUR",0.4210526,Vidya Bharti Rajasthan Kshetra,Jodhpur,Nagaur,Nagaur,"Nagaur, Nagaur, India",73.7493272,27.1983368,1998.6666666666667
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR PRATHAMIK, INDUSTRIAL AREA, GHANDHI NAGAR, ABU ROAD, DIST. SIROHI",0.3837209,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2006.4
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR PRATHAMIK, JIRAVAL ROAD, REODAR, DIST. SIROHI",0.4393939,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2005
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR PRATHAMIK, KESAV PARISAR, SARUPGANJ, DIST SIROHI",0.4492754,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2000
2000,Rajasthan,NAGAUR,ADARSH VIDYA MANDIR SR.SEC.SCH. JASNAGAR,"ADARASH VIDYA MANDIR PRATHAMIK, LADANU, DIST. NAGAUR",0.5384615,Vidya Bharti Rajasthan Kshetra,Jodhpur,Nagaur,Nagaur,"Nagaur, Nagaur, India",73.7493272,27.1983368,1998.4444444444443
2012,Rajasthan,NAGAUR,ADARSH VIDHA MANDIR SHIK.SANST. NARADHANA,"ADARASH VIDYA MANDIR PRATHAMIK, NEAR BUS STAND, NAWA CITY, DIST. NAGAUR",0.4507042,Vidya Bharti Rajasthan Kshetra,Jodhpur,Nagaur,Nagaur,"Nagaur, Nagaur, India",73.7493272,27.1983368,1996.923076923077
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR PRATHAMIK, NEAR SARNESHWAR MANDIR, BARLOOT, DIST. SIROHI",0.4155844,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2004.875
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR PRATHAMIK, RAMJHAROKHA MANDIR, SIROHI",0.5,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2004.2857142857142
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR SEC. SCHOOL, NEAR SARNESHWAR MANDIR, BARLOOT, DIST. SIROHI",0.4303797,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,1994.7142857142858
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR SEC. SCHOOL, OPP. DAK BANGLA, ANADARA, DIST. SIROHI",0.4583333,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,1999
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VIDYA PITH,"ADARASH VIDYA MANDIR SEC. SCHOOL, PADAR ROAD, MANDAR, DIST. SIROHI",0.4848485,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2001.6666666666667
2003,Rajasthan,NAGAUR,ADARSH VIDHYA MANDIR SEC.SCH. LADNUN,ADARASH VIDYA MANDIR SR. SEC. SCHOOL LADNUN,0.7674419,Vidya Bharti Rajasthan Kshetra,Jodhpur,Nagaur,Nagaur,"Nagaur, Nagaur, India",73.7493272,27.1983368,1999.857142857143
2015,Rajasthan,SIROHI,ADARSH_VIDYA_MANDIR_UPS_ROHIDA,ADARASH VIDYA MANDIR UPPER PRIMARY,0.6470588,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2011.5714285714287
1995,Rajasthan,SIROHI,ADARSH VIDYA MANDIR (SS) SHANKAR VI,ADARASH VIDYA MANDIR UPPER PRIMARY SCHOOL,0.5609756,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,SIROHI,"SIROHI, Sirohi, India",72.8574558,24.8851548,2009
2006,Rajasthan,CHITTAURGARH,ADARSHA VIDYA NIKETAN MANDFIYA,"ADARSH ADERSH VIDYA NIKETAN MADHYMIK ,MANGALWAD",0.5531915,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Chittorgarh,Mangalwar,"Mangalwar, Chittorgarh, India",74.2956875,24.5923983,2003.142857142857
1995,Haryana,JIND,SARASWATI VIDYA MANDIR HIGH SCHOOL PATIALA CHOWK JIND,"ADARSH BAL MANDIR HIGH SCHOOL, PUNJABI CHOWK, NARWANA",0.5283019,Vidya Bharti Uttar Kshetra,Haryana,Jind,Narwana,"Narwana, Jind, India",76.1149662,29.5959853,1995.5714285714287
2000,Rajasthan,JALOR,ADARSH VIDYA MANDIR PS BHINMAL,"ADARSH SEVA MANDIR, BHINMAL",0.7666667,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jalore,Bhinmal,"Bhinmal, Jalore, India",72.2624706,25.0085128,1998.7142857142858
2001,Uttar Pradesh,VARANASI,ADARSH SHIKSHA NIKATAN U. M. V. BHULLANPUR,"ADARSH SHIKSHA MANDIR, B. 2/71 BHADAINI VARANASI",0.4583333,Vidya Bharti Purvi Uttar Pradesh,Kashi,Varanasi,Varanasi,"Varanasi, Varanasi, India",82.9739144,25.3176452,1976.1
1999,Rajasthan,NAGAUR,ADARSH SIKSHAN SANSTHAN,ADARSH SISHUVATIKA,0.5652174,Vidya Bharti Rajasthan Kshetra,Jodhpur,Nagaur,Nagaur,"Nagaur, Nagaur, India",73.7493272,27.1983368,1999
2007,Rajasthan,JAISALMER,PS_ADARS VIDYA MANDIR SULTANA,"ADARSH VIDHA MANDIR SULTANA, JAISALMER",0.5789474,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,SULTANA,"SULTANA, Jaisalmer, India",70.83577919999999,27.4775575,2002.6363636363637
2001,Rajasthan,ALWAR,ADARSH VIDHYA MANDIR UPS ALAMPUR,ADARSH VIDHYA MANDIR  SEC SCH MALAKHERA,0.6923077,Vidya Bharti Rajasthan Kshetra,Jaipur,Alwar,ALWAR,"ALWAR, Alwar, India",76.6345735,27.5529907,1997.9
2000,Rajasthan,PALI,ADRASH VIDHYA MANDIR FALNA,ADARSH VIDHYA MANDIR FALNA,0.9615385,Vidya Bharti Rajasthan Kshetra,Jodhpur,Pali,Falna,"Falna, Pali, India",73.2452239,25.2332965,2003.111111111111
2001,Rajasthan,BUNDI,SHRI  MAHARSHI GOTAM SECONDARY SCHOOL GOTHDA,"ADARSH VIDHYA MANDIR GIRLS SECONDARY SCHOOL, LAL KOTHI BUNDI",0.4833333,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bundi,Bundi,"Bundi, Bundi, India",75.6482726,25.4325869,1990.7
1996,Rajasthan,ALWAR,ADARSH VIDHYA MANDIR UPS RAMGARH,ADARSH VIDHYA MANDIR LAXMANGARH,0.8125,Vidya Bharti Rajasthan Kshetra,Jaipur,Alwar,Alwar,"Alwar, Alwar, India",76.6345735,27.5529907,1998.6666666666667
1997,Rajasthan,JAISALMER,ADARSH VIDHYA MANDIR S_RAMGARH,"ADARSH VIDHYA MANDIR MADHYAMIK, MOHANGARH, JAISALMER",0.5192308,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,MOHANGARH,"MOHANGARH, Jaisalmer, India",71.2161428,27.3501626,2001.3636363636363
2001,Rajasthan,JODHPUR,ADARASH VIDHYA MANDIR  AAU,ADARSH VIDHYA MANDIR MANAI,0.8461538,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jodhpur,JODHPUR,"JODHPUR, Jodhpur, India",73.02430939999999,26.2389469,1998.7142857142858
1995,Rajasthan,TONK,ADARSH VIDHYA MANDIR NEWAI,ADARSH VIDHYA MANDIR PACHEWAR,0.8275862,Vidya Bharti Rajasthan Kshetra,Jaipur,Tonk,PACHEWAR,"PACHEWAR, Tonk, India",75.3135218,26.4697867,2000.6
2015,Rajasthan,JODHPUR,ADARSH VIDHYA MANDIR PRIMERY SCHOOL JANADESAR,"ADARSH VIDHYA MANDIR PRATHAMIK, SARASWATI NAGAR",0.5957447,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jodhpur,Jodhpur,"Jodhpur, Jodhpur, India",73.02430939999999,26.2389469,2001.4545454545455
1997,Rajasthan,PALI,ADARASH VIDYA MANDIR SECONDRY SCHOOL JAITARAN,"ADARSH VIDHYA MANDIR RANI, CHANCHODI ROAD ITANDRA CHARNAN",0.5263158,Vidya Bharti Rajasthan Kshetra,Jodhpur,Pali,Pali,"Pali, Pali, India",73.331147,25.7780623,1998.7142857142858
2015,Rajasthan,SIROHI,ADARSH VIDHYA MANDIR NANDIA,ADARSH VIDHYA MANDIR SEC MANDAR,0.7741935,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,MANDAR,"MANDAR, Sirohi, India",72.387346,24.5564386,2007.5
2010,Rajasthan,CHURU,ADARSH VIDYA MANDIR SHIKSHAN SANSTHAN BAS KANJAN,"ADARSH VIDHYA MANDIR SEC SCH,PILANI ROAD, SADULPUR (CHURU)",0.5,Vidya Bharti Rajasthan Kshetra,Jaipur,Churu,Rajgarh,"Rajgarh, Churu, India",75.3820239,28.6353435,2002.3846153846155
2015,Rajasthan,SIROHI,AADARSH VIDYA MANDIR SILDAR,ADARSH VIDHYA MANDIR SEC. REODAR,0.71875,Vidya Bharti Rajasthan Kshetra,Jodhpur,Sirohi,Reodar,"Reodar, Sirohi, India",72.5293562,24.6193591,2008.875
1997,Rajasthan,JAISALMER,ADARSH VIDHYA MANDIR SEC SCH_RAMGARH,"ADARSH VIDHYA MANDIR SEC., NACHANA",0.7222222,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,NACHANA,"NACHANA, Jaisalmer, India",71.72369309999999,27.5074679,1999.7272727272727
1988,Rajasthan,JHALAWAR,ADRASH VIDYA MANDIR SS MTHANA,ADARSH VIDHYA MANDIR SEC.SCHOOL MANOHARTHANA,0.6363636,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Manoharthana,"Manoharthana, Jhalawar, India",76.80505649999999,24.2370253,1994.4545454545455
1998,Rajasthan,PALI,ADARAS VIDHYA MANDIR SEC. SUMERPUR,ADARSH VIDHYA MANDIR SECONDARY (BOY) SUMERPUR,0.6888889,Vidya Bharti Rajasthan Kshetra,Jodhpur,Pali,Sumerpur,"Sumerpur, Pali, India",73.0822804,25.1526446,1997.6
1998,Rajasthan,PALI,ADARAS VIDHYA MANDIR SEC. SUMERPUR,ADARSH VIDHYA MANDIR SECONDARY (GIRL) SUMERPUR,0.673913,Vidya Bharti Rajasthan Kshetra,Jodhpur,Pali,Sumerpur,"Sumerpur, Pali, India",73.0822804,25.1526446,1998.1818181818182
1985,Rajasthan,BHILWARA,ADARSH VIDHYA MANDIR P.S. BADNOR,"ADARSH VIDHYA MANDIR SECONDARY SCHOOL, BADNOR",0.6444444,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Badnor,"Badnor, Bhilwara, India",74.2824862,25.8417653,1994.6363636363637
1992,Rajasthan,BHILWARA,ADRSH VIDHYA MANDIR U.P.S. SHAHPURA,"ADARSH VIDHYA MANDIR SECONDARY SCHOOL, SHAHPURA",0.6382979,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Shahpura Bhilwara,"Shahpura Bhilwara, Bhilwara, India",74.92919839999999,25.6230703,1988.4
2001,Rajasthan,JODHPUR,ADARSH VIDHA MANDIR SECONDARY MATHANIYA,"ADARSH VIDHYA MANDIR SECONDARY, SARASWATI NAGAR",0.7234043,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jodhpur,Jodhpur,"Jodhpur, Jodhpur, India",73.02430939999999,26.2389469,2001.3333333333333
1984,Rajasthan,AJMER,ADARSH VIDYA MANDIR SR.SEC.SCH KSG.,"ADARSH VIDHYA MANDIR SEN SEC SCHOOL, MADANGANJ-KISHANGARH",0.5438596,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Ajmer,Kishangarh,"Kishangarh, Ajmer, India",74.8541759,26.5866303,1988.9
2001,Rajasthan,JODHPUR,ADARSH VIDHA MANDIR SECONDARY MATHANIYA,"ADARSH VIDHYA MANDIR SENIOR SECONDARY, KESHAV PARISHAR KAMALANEHARU NAGAR",0.4931507,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jodhpur,Jodhpur,"Jodhpur, Jodhpur, India",73.02430939999999,26.2389469,2002.3636363636363
2006,Rajasthan,DAUSA,ADARSH VIDHYA MANDIR BHANDARI WARD N. 7,ADARSH VIDHYA MANDIR UCCH PRATHMIK VIDHYALAYAY BASWA ROAD BANDIKUI,0.4848485,Vidya Bharti Rajasthan Kshetra,Jaipur,Dausa,bandikui,"bandikui, Dausa, India",76.5701145,27.0479959,2001.090909090909
2009,Rajasthan,AJMER,MAHARAJA BHAWANI UPPER PRIMARY SCHOOL,"ADARSH VIDHYA MANDIR UPPER  PRIMARY SCHOOL, BHINAY",0.56,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Ajmer,Ajmer,"Ajmer, Ajmer, India",74.6399163,26.4498954,1997.9473684210527
2014,Rajasthan,BHILWARA,SHRI JI VIDHYA NIKETAN UPPER PRIMARY SCHOOL SAGREV,"ADARSH VIDHYA MANDIR UPPER PRIMARY SCHOOL, FULIYAKALAN",0.537037,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Fuliyakalan,"Fuliyakalan, Bhilwara, India",74.9501034,25.7984619,2006.9
2014,Rajasthan,BHILWARA,SHRI JI VIDHYA NIKETAN UPPER PRIMARY SCHOOL SAGREV,"ADARSH VIDHYA MANDIR UPPER PRIMARY SCHOOL, PAROLI",0.6,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Paroli,"Paroli, Bhilwara, India",75.0669552,25.510272,2005.4444444444443
2014,Rajasthan,BHILWARA,SHRI JI VIDHYA NIKETAN UPPER PRIMARY SCHOOL SAGREV,"ADARSH VIDHYA MANDIR UPPER PRIMARY SCHOOL, PIPLUND",0.56,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Piplund,"Piplund, Bhilwara, India",75.2739082,25.5510636,2002.3333333333333
2014,Rajasthan,BHILWARA,SHRI JI VIDHYA NIKETAN UPPER PRIMARY SCHOOL SAGREV,"ADARSH VIDHYA MANDIR UPPER PRIMARY SCHOOL, SARSIYA MAYLA",0.5357143,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Sarsiya Mayla,"Sarsiya Mayla, Bhilwara, India",75.3004009,25.5805562,2009.9166666666667
1992,Rajasthan,BHILWARA,ADRSH VIDHYA MANDIR U.P.S. SHAHPURA,"ADARSH VIDHYA MANDIR UPPER PRIMARY SCHOOL, SHAHPURA (BHILWARA)",0.516129,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Shahpura Bhilwara,"Shahpura Bhilwara, Bhilwara, India",74.92919839999999,25.6230703,2005.6
1997,Rajasthan,JAISALMER,ADARSH VIDHYA MANDIR PS_RAMGARH,"ADARSH VIDHYA MANDIR UPS, BADORAGAON",0.7222222,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,Badoragaon,"Badoragaon, Jaisalmer, India",71.15673439999999,26.832226,2001.5384615384614
1974,Rajasthan,KOTA,ADARSH VIDHY MANDIR SEC. SCHOOL CHAWNI,"ADARSH VIDHYA MANDIR, ANAND VIHAR COLONY",0.6,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Kota,Ramganjmandi,"Ramganjmandi, Kota, India",75.94342089999999,24.6495542,1977.4615384615386
2007,Rajasthan,JHALAWAR,ADARSHA VIDHYA MANDIR MALNWASA,"ADARSH VIDHYA MANDIR, ASNAWAR",0.7666667,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Asnawar,"Asnawar, Jhalawar, India",76.3565842,24.477883,2004
1971,Rajasthan,BARAN,ADARSH VIDYA MANDIR UPS,"ADARSH VIDHYA MANDIR, BARKHEDA",0.6666667,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Baran,Anta,"Anta, Baran, India",76.3116235,25.1578554,1991.3181818181818
2007,Rajasthan,JHALAWAR,ADARSHA VIDHYA MANDIR MALNWASA,"ADARSH VIDHYA MANDIR, CHAUHAMALLA",0.6969697,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Chauhmalla,"Chauhmalla, Jhalawar, India",75.59906579999999,23.9442184,2000.421052631579
2007,Rajasthan,JHALAWAR,ADARSHA VIDHYA MANDIR MALNWASA,"ADARSH VIDHYA MANDIR, GURADIYA JOGA",0.6571429,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Guradiyajoga,"Guradiyajoga, Jhalawar, India",75.828701,24.3524072,2001.8333333333333
2010,Rajasthan,JHALAWAR,"ADARSH VIDHYA MANDIR,MOGRA","ADARSH VIDHYA MANDIR, JAWAR",0.8148148,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Jawar,"Jawar, Jhalawar, India",76.7480805,24.3333184,1997.1
1988,Rajasthan,JHALAWAR,"ADARSH VIDYA MANDIR(SEC), JHALAWAR","ADARSH VIDHYA MANDIR, JHALAWAR",0.8235294,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Jhalawar,"Jhalawar, Jhalawar, India",76.1609838,24.5973494,1999.5
2004,Rajasthan,JHALAWAR,ADARSH VIDYA MANDIR KHANPUR,"ADARSH VIDHYA MANDIR, KHANPUR",0.9310345,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,Khanpur,"Khanpur, Jhalawar, India",76.3897733,24.7319717,1996.8333333333333
1971,Rajasthan,BARAN,ADARSH VIDHAY MANDIR UPS W-23,"ADARSH VIDHYA MANDIR, MADAV NAGAR",0.6363636,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Baran,Chhabra,"Chhabra, Baran, India",76.84520189999999,24.6668257,1989.4615384615386
1991,Rajasthan,BARAN,BAL VIDYA MANDIR MANGROL,"ADARSH VIDHYA MANDIR, MANGROL",0.7586207,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Baran,Mangrol,"Mangrol, Baran, India",76.51124709999999,25.3362429,1991.32
